iter	RMSE
0	0.770277526
1	0.7318656704
2	0.6943836284
3	0.6627112494
4	0.6298479368
5	0.6003731048
6	0.5691485466
7	0.5419702617
8	0.5191815972
9	0.4961237762
10	0.4749112092
11	0.4562411157
12	0.4403989801
13	0.4247298281
14	0.4107111734
15	0.3970992007
16	0.3865149765
17	0.3766409247
18	0.367045974
19	0.3606814282
20	0.352658863
21	0.3450211559
22	0.3413254868
23	0.334989078
24	0.3295804745
25	0.3268458193
26	0.3219670575
27	0.3175282225
28	0.313520637
29	0.3096994824
30	0.3060034316
31	0.3029422441
32	0.3018894678
33	0.298926252
34	0.2965710081
35	0.293826181
36	0.2915198608
37	0.2897337555
38	0.2885154226
39	0.2869958663
40	0.2852432748
41	0.2838091345
42	0.2818902231
43	0.2806874513
44	0.2790569557
45	0.2784495778
46	0.276895702
47	0.2757885078
48	0.2747866639
49	0.2736259567
50	0.273517611
51	0.2719861933
52	0.2707715886
53	0.2699477726
54	0.268736718
55	0.2673291557
56	0.2665734788
57	0.2657244336
58	0.2644984614
59	0.2635522362
60	0.2630223247
61	0.2621871093
62	0.2620169012
63	0.2609843288
64	0.2599937164
65	0.2595578158
66	0.2587262036
67	0.2581765079
68	0.2575702012
69	0.2570122188
70	0.2564689764
71	0.255582202
72	0.2547204041
73	0.2540217691
74	0.2529959611
75	0.2528677421
76	0.2522984032
77	0.250992964
78	0.2507583585
79	0.2501549699
80	0.2495781548
81	0.2490439659
82	0.2484270143
83	0.2478190398
84	0.2473760816
85	0.2468895367
86	0.2464981272
87	0.2456046038
88	0.2442939699
89	0.2435233625
90	0.2425167205
91	0.2410864229
92	0.2402198131
93	0.2394382096
94	0.2386812959
95	0.2379977254
96	0.2371776528
97	0.2364547336
98	0.2364024834
99	0.2356914639
100	0.2345867146
101	0.2340343358
102	0.233370079
103	0.2328150177
104	0.2322413128
105	0.2317655761
106	0.2310117631
107	0.2304891284
108	0.2301221382
109	0.2296278412
110	0.229162255
111	0.2287128967
112	0.2278925356
113	0.2272806694
114	0.2267125765
115	0.2262003674
116	0.225582282
117	0.2250873506
118	0.2244110123
119	0.2238141675
120	0.2231985969
121	0.222559552
122	0.2222638523
123	0.2218462238
124	0.2213436399
125	0.220813843
126	0.2198388069
127	0.2192662865
128	0.2188169071
129	0.2184220883
130	0.2180146878
131	0.2175254605
132	0.2168091966
133	0.2163740674
134	0.2160109631
135	0.215774541
136	0.2151956459
137	0.2147747119
138	0.2145674744
139	0.214155101
140	0.213826596
141	0.2135000243
142	0.2132402539
143	0.2128717505
144	0.2124842636
145	0.2119656096
146	0.2114896621
147	0.2107617644
148	0.2102544923
149	0.2098423
150	0.2091149168
151	0.2086515832
152	0.2076277418
153	0.2072193999
154	0.2070654929
155	0.2067864295
156	0.2061771903
157	0.2057097168
158	0.205256256
159	0.2049928253
160	0.2045428178
161	0.2039637964
162	0.2034017347
163	0.202812492
164	0.2024925157
165	0.2021737646
166	0.2016339175
167	0.2012498699
168	0.2007216144
169	0.2001391164
170	0.1998605513
171	0.1997006036
172	0.1995138444
173	0.1989848197
174	0.1988174784
175	0.1983785523
176	0.1981022402
177	0.1977919532
178	0.197476344
179	0.1971421206
180	0.1968222121
181	0.196515617
182	0.1961035669
183	0.1957129482
184	0.195486154
185	0.1951023484
186	0.1947547031
187	0.1942414365
188	0.1940704982
189	0.1937182186
190	0.1932464901
191	0.1929197544
192	0.1927761529
193	0.1925950337
194	0.1922213603
195	0.1916306318
196	0.1912406409
197	0.1909242312
198	0.1906852355
199	0.1903575364
200	0.1901184219
201	0.189934128
202	0.189493971
203	0.1891016191
204	0.1887579477
205	0.1884230301
206	0.1881762321
207	0.1880097233
208	0.1878475008
209	0.1874831213
210	0.1869798741
211	0.1866104987
212	0.1863599076
213	0.1859235205
214	0.1857851979
215	0.1855574426
216	0.1852625345
217	0.1850644356
218	0.1847399428
219	0.1845255923
220	0.1843037153
221	0.1839402254
222	0.1836568872
223	0.1834444545
224	0.1830281913
225	0.182824841
226	0.1825320815
227	0.1824108882
228	0.1820555093
229	0.1817542396
230	0.1813870951
231	0.1810001034
232	0.1808530971
233	0.1805043012
234	0.1802200527
235	0.1799439629
236	0.1796799531
237	0.17949064
238	0.1792378756
239	0.1790364475
240	0.1788325333
241	0.1786376377
242	0.1785444088
243	0.1782676632
244	0.1780664267
245	0.1779042602
246	0.1777261356
247	0.17734813
248	0.1770450248
249	0.1768963137
250	0.1767274728
251	0.1764666109
252	0.1762023852
253	0.1759854498
254	0.1756669877
255	0.1754225018
256	0.1751730215
257	0.1749563074
258	0.174820585
259	0.1746947588
260	0.1744996362
261	0.1742262123
262	0.1739813238
263	0.1738002394
264	0.1734488207
265	0.1732527629
266	0.1729601062
267	0.1728577276
268	0.1727143359
269	0.1724916781
270	0.1722855283
271	0.1720225928
272	0.1718671157
273	0.1717610543
274	0.1716269748
275	0.171451631
276	0.1712031152
277	0.170931507
278	0.1705076868
279	0.170268559
280	0.1699819706
281	0.1698511782
282	0.1696576684
283	0.1692703115
284	0.1690964351
285	0.168917584
286	0.1687358402
287	0.1685784133
288	0.1684332123
289	0.1683348208
290	0.1680926713
291	0.1678154555
292	0.1675258435
293	0.1673539073
294	0.1672158148
295	0.1670891134
296	0.1668804354
297	0.166680469
298	0.1665138983
299	0.1663878993
300	0.166034599
301	0.1658042107
302	0.1655915333
303	0.1655616355
304	0.1653480474
305	0.1652166864
306	0.1650517673
307	0.1649303735
308	0.1646236454
309	0.164503467
310	0.1643448099
311	0.1641610334
312	0.1640432926
313	0.1639238188
314	0.163779837
315	0.1636744088
316	0.163469703
317	0.1633075639
318	0.1630314308
319	0.1627360888
320	0.1624847881
321	0.1623149071
322	0.1620882183
323	0.1618818105
324	0.1616768469
325	0.1615434903
326	0.1614113767
327	0.1612514405
328	0.1610595771
329	0.1608434137
330	0.1606170899
331	0.1604769352
332	0.1603160021
333	0.1600954301
334	0.159943164
335	0.1598421521
336	0.1596011519
337	0.1594885202
338	0.1592750827
339	0.1591973879
340	0.1590374998
341	0.1588762546
342	0.15867796
343	0.1585681521
344	0.1584093733
345	0.1582523059
346	0.1580873514
347	0.1579176939
348	0.1577393284
349	0.1576074715
350	0.1573560841
351	0.1572174068
352	0.1570704713
353	0.1569316875
354	0.1568477997
355	0.1567505561
356	0.1565389251
357	0.156325062
358	0.1561536691
359	0.1560280555
360	0.1559314862
361	0.1557976857
362	0.1557426711
363	0.155682305
364	0.1555618459
365	0.1554865418
366	0.1553459082
367	0.1552337127
368	0.1551057214
369	0.1549472154
370	0.1548527207
371	0.1547081091
372	0.1545654357
373	0.1544650091
374	0.1543786521
375	0.1543130526
376	0.1541505342
377	0.1540595423
378	0.1539048781
379	0.1537251273
380	0.1536338348
381	0.1535239422
382	0.1533543194
383	0.1532893394
384	0.1531828775
385	0.1530163328
386	0.1528774305
387	0.1527160037
388	0.152619202
