iter	Passed	Remaining
0	136	136788
1	147	73359
2	162	54023
3	164	40972
4	173	34585
5	182	30290
6	396	56256
7	552	68449
8	708	78045
9	889	88094
10	1062	95522
11	1224	100836
12	1244	94511
13	1412	99496
14	1580	103799
15	1775	109214
16	1796	103886
17	1969	107467
18	2158	111430
19	2164	106040
20	2350	109578
21	2563	113956
22	2566	109018
23	2764	112412
24	2876	112185
25	2878	107825
26	2941	105990
27	3002	104212
28	3067	102693
29	3136	101397
30	3199	100013
31	3263	98731
32	3265	95690
33	3339	94891
34	3413	94128
35	3480	93201
36	3542	92204
37	3609	91374
38	3671	90475
39	3737	89700
40	3800	88885
41	3860	88046
42	3920	87254
43	3984	86563
44	4047	85901
45	4108	85204
46	4173	84628
47	4243	84169
48	4311	83673
49	4382	83270
50	4383	81568
51	4448	81101
52	4515	80682
53	4585	80323
54	4647	79847
55	4716	79510
56	4787	79204
57	4853	78825
58	4918	78441
59	4980	78026
60	5043	77633
61	5106	77250
62	5113	76049
63	5176	75707
64	5240	75382
65	5280	74722
66	5364	74697
67	5432	74458
68	5503	74263
69	5570	74001
70	5632	73694
71	5698	73442
72	5768	73251
73	5836	73030
74	5903	72804
75	5910	71858
76	5985	71753
77	6068	71731
78	6071	70778
79	6130	70502
80	6194	70276
81	6254	70022
82	6338	70026
83	6400	69800
84	6466	69606
85	6543	69546
86	6595	69214
87	6677	69200
88	6758	69176
89	6844	69204
90	6917	69094
91	6986	68951
92	7048	68738
93	7112	68552
94	7211	68698
95	7362	69329
96	7566	70442
97	7729	71143
98	7732	70372
99	7911	71202
100	8081	71935
101	8261	72736
102	8451	73602
103	8624	74302
104	8801	75018
105	8978	75723
106	9152	76384
107	9340	77141
108	9521	77828
109	9695	78444
110	9810	78575
111	9966	79021
112	10130	79519
113	10323	80235
114	10500	80804
115	10565	80515
116	10650	80375
117	10728	80190
118	10798	79943
119	10865	79678
120	10936	79450
121	11005	79203
122	11018	78563
123	11085	78316
124	11146	78023
125	11209	77751
126	11270	77470
127	11348	77313
128	11411	77050
129	11473	76783
130	11542	76569
131	11612	76363
132	11685	76172
133	11771	76075
134	11847	75911
135	11907	75646
136	11967	75389
137	12030	75148
138	12092	74904
139	12161	74703
140	12226	74486
141	12293	74279
142	12372	74150
143	12446	73990
144	12524	73853
145	12591	73649
146	12652	73416
147	12717	73210
148	12790	73052
149	12864	72901
150	12929	72695
151	12994	72497
152	13057	72284
153	13127	72113
154	13190	71910
155	13263	71759
156	13344	71649
157	13415	71490
158	13487	71338
159	13560	71190
160	13628	71021
161	13695	70845
162	13760	70657
163	13830	70500
164	13898	70332
165	13966	70168
166	14027	69968
167	14089	69777
168	14155	69606
169	14218	69419
170	14286	69259
171	14352	69092
172	14419	68927
173	14487	68772
174	14561	68648
175	14634	68516
176	14704	68372
177	14812	68405
178	14872	68214
179	14937	68049
180	15005	67899
181	15066	67717
182	15128	67541
183	15188	67357
184	15249	67179
185	15320	67046
186	15383	66880
187	15443	66700
188	15504	66530
189	15566	66362
190	15629	66199
191	15698	66066
192	15782	65992
193	15852	65862
194	15914	65698
195	15973	65523
196	16034	65359
197	16105	65234
198	16229	65324
199	16401	65605
200	16540	65752
201	16753	66184
202	16979	66664
203	17154	66936
204	17329	67204
205	17517	67517
206	17699	67803
207	17877	68070
208	18051	68319
209	18180	68393
210	18242	68216
211	18309	68055
212	18380	67911
213	18449	67764
214	18515	67601
215	18576	67426
216	18647	67285
217	18717	67144
218	18778	66969
219	18840	66797
220	18964	66848
221	19138	67070
222	19208	66926
223	19286	66813
224	19351	66655
225	19417	66501
226	19493	66379
227	19563	66241
228	19634	66105
229	19711	65990
230	19841	66052
231	19920	65944
232	20018	65898
233	20094	65778
234	20161	65632
235	20268	65615
236	20350	65517
237	20417	65369
238	20485	65228
239	20560	65108
240	20622	64949
241	20724	64914
242	20918	65165
243	21109	65403
244	21300	65640
245	21487	65859
246	21622	65918
247	21685	65755
248	21750	65601
249	21823	65471
250	21891	65325
251	21954	65167
252	22021	65019
253	22093	64889
254	22155	64729
255	22235	64622
256	22308	64493
257	22383	64374
258	22447	64222
259	22511	64070
260	22577	63925
261	22644	63785
262	22711	63643
263	22778	63502
264	22845	63364
265	22908	63213
266	22971	63062
267	23032	62908
268	23098	62769
269	23160	62618
270	23225	62476
271	23292	62341
272	23355	62197
273	23416	62044
274	23491	61931
275	23555	61790
276	23619	61650
277	23688	61521
278	23752	61381
279	23822	61258
280	23892	61134
281	23969	61029
282	24035	60894
283	24096	60749
284	24158	60608
285	24219	60465
286	24281	60323
287	24346	60189
288	24415	60066
289	24475	59923
290	24549	59813
291	24620	59695
292	24684	59561
293	24744	59421
294	24815	59304
295	24880	59175
296	24942	59038
297	25006	58908
298	25073	58785
299	25140	58661
300	25204	58530
301	25267	58399
302	25333	58274
303	25334	58003
304	25401	57881
305	25467	57760
306	25528	57625
307	25590	57496
308	25658	57379
309	25728	57267
310	25796	57150
311	25860	57024
312	25923	56899
313	25989	56779
314	26053	56655
315	26121	56540
316	26183	56413
317	26249	56295
318	26310	56168
319	26375	56047
320	26435	55918
321	26496	55790
322	26561	55671
323	26631	55564
324	26698	55450
325	26767	55341
326	26843	55246
327	26907	55128
328	26974	55015
329	27037	54893
330	27101	54776
331	27165	54658
332	27234	54551
333	27296	54429
334	27359	54310
335	27422	54192
336	27486	54075
337	27553	53966
338	27636	53887
339	27705	53781
340	27768	53663
341	27829	53543
342	27891	53423
343	27953	53306
344	28021	53199
345	28082	53081
346	28148	52970
347	28213	52860
348	28283	52757
349	28353	52656
350	28414	52539
351	28482	52434
352	28543	52316
353	28604	52198
354	28674	52099
355	28737	51985
356	28803	51879
357	28873	51778
358	28940	51674
359	28998	51553
360	29061	51441
361	29126	51334
362	29185	51216
363	29248	51103
364	29307	50987
365	29368	50872
366	29427	50755
367	29487	50640
368	29546	50524
369	29612	50421
370	29676	50314
371	29735	50198
372	29797	50087
373	29857	49975
374	29918	49863
375	29984	49762
376	30161	49842
377	30352	49945
378	30529	50023
379	30743	50160
380	30930	50252
381	31018	50181
382	31087	50080
383	31162	49989
384	31223	49876
385	31288	49770
386	31349	49656
387	31420	49560
388	31485	49453
389	31553	49352
390	31631	49267
391	31707	49179
392	31779	49084
393	31848	48985
394	31908	48871
395	31970	48763
396	32030	48650
397	32093	48542
398	32175	48464
399	32355	48533
400	32542	48611
401	32710	48658
402	32786	48569
403	32870	48492
404	32934	48384
405	33001	48282
406	33071	48185
407	33131	48072
408	33198	47971
409	33286	47899
410	33434	47915
411	33567	47906
412	33708	47910
413	33826	47879
414	33916	47809
415	33991	47718
416	34116	47697
417	34215	47639
418	34335	47610
419	34399	47504
420	34479	47419
421	34568	47346
422	34675	47300
423	34757	47217
424	34849	47149
425	34944	47084
426	35048	47031
427	35154	46982
428	35224	46883
429	35310	46806
430	35464	46819
431	35583	46785
432	35656	46691
433	35743	46615
434	35817	46521
435	35900	46440
436	35981	46356
437	36057	46264
438	36190	46248
439	36317	46222
440	36469	46227
441	36625	46237
442	36772	46235
443	36872	46173
444	36937	46068
445	37007	45969
446	37079	45872
447	37143	45765
448	37210	45663
449	37285	45570
450	37367	45487
451	37460	45417
452	37535	45324
453	37616	45239
454	37702	45159
455	37787	45080
456	37856	44980
457	37923	44879
458	37986	44773
459	38066	44686
460	38132	44584
461	38199	44483
462	38274	44392
463	38343	44293
464	38405	44187
465	38470	44084
466	38546	43993
467	38631	43914
468	38704	43821
469	38765	43714
470	38832	43614
471	38898	43513
472	38967	43416
473	39041	43324
474	39108	43224
475	39172	43122
476	39237	43021
477	39305	42924
478	39384	42838
479	39459	42747
480	39522	42645
481	39583	42540
482	39650	42441
483	39711	42337
484	39770	42230
485	39834	42129
486	39896	42026
487	39966	41931
488	40035	41836
489	40099	41735
490	40162	41635
491	40227	41535
492	40288	41432
493	40348	41328
494	40423	41239
495	40485	41138
496	40548	41037
497	40612	40938
498	40678	40841
499	40738	40738
500	40804	40641
501	40869	40543
502	40935	40446
503	40996	40345
504	41061	40248
505	41123	40148
506	41187	40050
507	41254	39955
508	41319	39857
509	41389	39766
510	41472	39687
511	41555	39607
512	41634	39523
513	41714	39442
514	41792	39358
515	41875	39278
516	41961	39202
517	42043	39121
518	42126	39041
519	42209	38962
520	42304	38894
521	42392	38819
522	42476	38740
523	42567	38668
524	42646	38585
525	42739	38514
526	42823	38435
527	42905	38354
528	42991	38277
529	43073	38197
530	43144	38106
531	43205	38007
532	43267	37910
533	43334	37816
534	43401	37722
535	43461	37623
536	43527	37529
537	43590	37432
538	43654	37336
539	43717	37240
540	43784	37147
541	43847	37052
542	43927	36970
543	44051	36925
544	44141	36852
545	44252	36795
546	44315	36699
547	44380	36606
548	44449	36515
549	44509	36417
550	44571	36320
551	44632	36223
552	44703	36134
553	44767	36040
554	44833	35947
555	44906	35860
556	44975	35770
557	45041	35678
558	45167	35632
559	45307	35598
560	45369	35502
561	45435	35410
562	45497	35315
563	45560	35220
564	45625	35127
565	45692	35035
566	45770	34953
567	45836	34861
568	45909	34774
569	46024	34720
570	46142	34667
571	46236	34596
572	46333	34527
573	46402	34437
574	46465	34344
575	46528	34250
576	46618	34176
577	46755	34136
578	46832	34052
579	46899	33961
580	46964	33869
581	47029	33777
582	47089	33681
583	47160	33593
584	47168	33461
585	47229	33366
586	47295	33275
587	47376	33195
588	47445	33107
589	47515	33019
590	47578	32926
591	47652	32841
592	47713	32747
593	47774	32654
594	47835	32560
595	47903	32471
596	47965	32378
597	48040	32294
598	48103	32203
599	48170	32113
600	48239	32025
601	48300	31932
602	48366	31843
603	48428	31751
604	48493	31660
605	48576	31582
606	48660	31505
607	48728	31417
608	48791	31325
609	48853	31233
610	48919	31144
611	48983	31054
612	49052	30967
613	49111	30874
614	49178	30786
615	49238	30694
616	49298	30601
617	49360	30510
618	49430	30424
619	49499	30338
620	49560	30247
621	49623	30157
622	49684	30066
623	49748	29976
624	49812	29887
625	49877	29799
626	49940	29709
627	50002	29619
628	50074	29534
629	50133	29443
630	50199	29356
631	50265	29268
632	50338	29185
633	50408	29100
634	50475	29013
635	50542	28927
636	50610	28840
637	50677	28754
638	50740	28665
639	50808	28579
640	50870	28490
641	50930	28400
642	50992	28311
643	51053	28222
644	51120	28135
645	51185	28049
646	51250	27961
647	51320	27877
648	51382	27789
649	51446	27702
650	51511	27615
651	51515	27496
652	51582	27410
653	51646	27323
654	51707	27235
655	51769	27147
656	51845	27067
657	51906	26978
658	51968	26891
659	52030	26803
660	52092	26715
661	52162	26632
662	52226	26546
663	52293	26461
664	52372	26383
665	52456	26307
666	52541	26231
667	52623	26154
668	52715	26082
669	52816	26014
670	52905	25940
671	52986	25862
672	53067	25784
673	53139	25702
674	53228	25628
675	53308	25550
676	53389	25472
677	53471	25395
678	53555	25318
679	53643	25244
680	53722	25164
681	53805	25088
682	53889	25011
683	53950	24924
684	54017	24840
685	54079	24753
686	54155	24673
687	54216	24586
688	54289	24505
689	54388	24435
690	54519	24379
691	54656	24326
692	54768	24262
693	54850	24184
694	54913	24098
695	54981	24014
696	55043	23928
697	55104	23841
698	55175	23759
699	55241	23674
700	55303	23588
701	55364	23502
702	55426	23416
703	55490	23331
704	55556	23247
705	55624	23163
706	55690	23079
707	55752	22993
708	55815	22908
709	55878	22823
710	55950	22742
711	56013	22656
712	56076	22572
713	56137	22486
714	56201	22402
715	56262	22316
716	56321	22230
717	56400	22151
718	56459	22065
719	56526	21982
720	56595	21900
