VehicleID,Amount (Million Naira)
VHL18518,7.761093
VHL17149,8.204549
VHL10927,3.7192986
VHL12909,5.6710324
VHL12348,11.125242
VHL10798,26.138508
VHL11022,1.6135193
VHL12206,7.991117
VHL11697,9.949004
VHL12313,8.733341
VHL13411,11.588595
VHL14334,3.2021785
VHL14302,5.9978905
VHL13979,4.177451
VHL12272,2.2854931
VHL15071,8.91777
VHL19166,4.2086086
VHL10471,3.2498188
VHL18431,3.3611271
VHL12325,8.265586
VHL15657,2.8868
VHL13667,19.100733
VHL18913,7.2041574
VHL13273,7.3693924
VHL16576,1.0358636
VHL15506,3.9003513
VHL10460,47.63407
VHL16050,1.8797781
VHL17918,4.830141
VHL12992,5.047975
VHL10261,6.785942
VHL18348,8.761179
VHL11577,8.169522
VHL16957,2.0967116
VHL16165,15.6395855
VHL11441,4.124905
VHL19990,3.547295
VHL14072,4.217717
VHL13637,1.5760674
VHL10757,10.524653
VHL12657,8.595723
VHL19939,14.442978
VHL12094,11.873001
VHL17177,4.57956
VHL16720,13.968608
VHL11478,28.156834
VHL14386,10.284723
VHL11341,11.467498
VHL18683,8.885897
VHL13430,16.367277
VHL18932,2.619079
VHL17505,8.1679
VHL16272,4.59954
VHL14777,2.367033
VHL13186,8.319053
VHL19383,1.5505241
VHL14605,11.117837
VHL11440,22.489662
VHL14303,12.425653
VHL19478,4.5941014
VHL17837,2.177839
VHL12824,4.4395895
VHL17476,5.413993
VHL18988,2.3066607
VHL19482,6.428988
VHL13263,4.079421
VHL17078,8.085043
VHL19170,2.3685193
VHL18070,2.940168
VHL18061,13.9330845
VHL10726,1.7187519
VHL19212,2.9266896
VHL13283,2.995892
VHL14023,6.8995867
VHL16973,27.662786
VHL19653,14.562678
VHL18605,11.226552
VHL13287,10.543881
VHL15719,2.2938526
VHL19636,6.147111
VHL11009,11.282583
VHL18087,3.8010201
VHL14422,3.7566276
VHL15789,21.720264
VHL12369,4.321994
VHL15812,3.6518693
VHL18767,120.66626
VHL19271,22.408882
VHL17403,3.0737066
VHL12967,4.867371
VHL19998,8.299147
VHL12336,3.9039395
VHL10328,2.8710284
VHL18908,1.5205929
VHL11127,6.2760644
VHL12655,14.284805
