VehicleID,Amount (Million Naira)
VHL18518,14.95773
VHL17149,7.354094
VHL10927,3.70382
VHL12909,5.9114356
VHL12348,11.106334
VHL10798,24.189762
VHL11022,1.7667968
VHL12206,8.577093
VHL11697,12.665603
VHL12313,7.6553025
VHL13411,14.287529
VHL14334,3.29058
VHL14302,5.8575435
VHL13979,2.9295237
VHL12272,2.342317
VHL15071,8.610342
VHL19166,4.7777777
VHL10471,2.993206
VHL18431,4.6760855
VHL12325,12.421342
VHL15657,2.4405339
VHL13667,20.567295
VHL18913,9.834272
VHL13273,11.032248
VHL16576,0.7235033
VHL15506,6.1743517
VHL10460,50.205086
VHL16050,0.9502913
VHL17918,3.6410947
VHL12992,4.248661
VHL10261,5.724686
VHL18348,12.312666
VHL11577,10.834522
VHL16957,-4.5512342
VHL16165,20.59976
VHL11441,4.572539
VHL19990,2.8125405
VHL14072,4.5435705
VHL13637,2.051705
VHL10757,11.143325
VHL12657,10.723418
VHL19939,13.070607
VHL12094,11.926367
VHL17177,4.6205516
VHL16720,13.517214
VHL11478,32.63209
VHL14386,12.230234
VHL11341,13.442444
VHL18683,7.984416
VHL13430,19.130613
VHL18932,1.9594958
VHL17505,8.970125
VHL16272,4.4288783
VHL14777,2.2445796
VHL13186,7.659552
VHL19383,2.1549497
VHL14605,12.467442
VHL11440,21.815845
VHL14303,11.186635
VHL19478,7.245803
VHL17837,2.1001456
VHL12824,3.699408
VHL17476,5.5747137
VHL18988,2.2768085
VHL19482,6.0333223
VHL13263,4.2802806
VHL17078,5.550069
VHL19170,2.598469
VHL18070,3.0852833
VHL18061,15.307756
VHL10726,-0.7728912
VHL19212,3.2300193
VHL13283,2.447589
VHL14023,9.9578495
VHL16973,35.263603
VHL19653,14.558894
VHL18605,12.908056
VHL13287,11.440791
VHL15719,1.8223162
VHL19636,6.195793
VHL11009,12.266661
VHL18087,2.1878288
VHL14422,3.2639797
VHL15789,20.551344
VHL12369,4.310642
VHL15812,3.654295
VHL18767,116.342026
VHL19271,23.559841
VHL17403,2.8334467
VHL12967,4.049217
VHL19998,8.56165
VHL12336,2.817736
VHL10328,2.3621402
VHL18908,1.198919
VHL11127,5.6598144
VHL12655,17.749905
