iter	MultiClass
0	1.35663133
1	1.331219902
2	1.309660483
3	1.289107505
4	1.273443346
5	1.258392186
6	1.243919552
7	1.231973223
8	1.22175883
9	1.211354915
10	1.204337051
11	1.198139819
12	1.191662283
13	1.183944559
14	1.178476932
15	1.17140958
16	1.165732822
17	1.160731845
18	1.155159216
19	1.149720139
20	1.145250504
21	1.142465175
22	1.138712033
23	1.135350847
24	1.132325469
25	1.12881278
26	1.125944158
27	1.123492702
28	1.120018917
29	1.116871001
30	1.114743069
31	1.112542659
32	1.108821096
33	1.10711803
34	1.105231534
35	1.1034758
36	1.100694417
37	1.098281812
38	1.096607529
39	1.094378485
40	1.092898696
41	1.090879258
42	1.089358496
43	1.08701353
44	1.085888245
45	1.084180442
46	1.081900716
47	1.079701782
48	1.078044145
49	1.076042274
50	1.074468753
51	1.073434593
52	1.071850855
53	1.070619313
54	1.069434892
55	1.067717015
56	1.066363152
57	1.063536849
58	1.062377278
59	1.060362993
60	1.058642617
61	1.057813536
62	1.055816468
63	1.053847805
64	1.053017193
65	1.051344388
66	1.05012075
67	1.048707421
68	1.047291909
69	1.045867595
70	1.044678946
71	1.043232682
72	1.042145179
73	1.040180864
74	1.039163932
75	1.038070886
76	1.03651355
77	1.035226406
78	1.034319077
79	1.03281823
80	1.031321016
81	1.029983459
82	1.028906812
83	1.027256103
84	1.025940747
85	1.02411551
86	1.023275331
87	1.021856679
88	1.020986897
89	1.019692436
90	1.0182642
91	1.017277408
92	1.015354087
93	1.014516252
94	1.012924069
95	1.01225147
96	1.010994201
97	1.009385518
98	1.007667511
99	1.006456187
100	1.005129651
101	1.004084322
102	1.002590352
103	1.001734378
104	1.000550349
105	0.9990023022
106	0.9977384229
107	0.9962674376
108	0.9953189807
109	0.9943460659
110	0.9933911748
111	0.992055858
112	0.9909641969
113	0.9900175658
114	0.9888096344
115	0.9870317365
116	0.9855230451
117	0.9846370962
118	0.9835726127
119	0.9828928181
120	0.9814163175
121	0.9800993464
122	0.9782855432
123	0.9776165524
124	0.9767819247
125	0.9758534098
126	0.9745760659
127	0.973605933
128	0.972591106
129	0.9713361446
130	0.9698661353
131	0.9690545493
132	0.9684403921
133	0.967697358
134	0.9666984097
135	0.9656031018
136	0.964528249
137	0.9633391497
138	0.9625610746
139	0.9618171472
140	0.9607631865
141	0.9597510063
142	0.9589061048
143	0.9577689664
144	0.9566174782
145	0.9551372565
146	0.9541849351
147	0.9533250333
148	0.9522890232
149	0.9507956612
150	0.949693271
151	0.9486830967
152	0.9471757298
