iter	Passed	Remaining
0	4	4266
1	8	4087
2	12	4177
3	16	4219
4	21	4219
5	25	4242
6	29	4248
7	34	4296
8	39	4307
9	43	4322
10	48	4362
11	53	4392
12	58	4425
13	62	4398
14	66	4379
15	70	4335
16	74	4305
17	78	4277
18	82	4257
19	86	4236
20	90	4225
21	94	4219
22	102	4369
23	107	4361
24	112	4394
25	116	4372
26	120	4341
27	125	4350
28	129	4327
29	134	4344
30	139	4357
31	144	4369
32	149	4375
33	154	4395
34	160	4422
35	165	4441
36	171	4476
37	177	4488
38	182	4496
39	187	4504
40	193	4514
41	198	4528
42	203	4534
43	209	4550
44	214	4561
45	221	4590
46	226	4601
47	232	4605
48	238	4630
49	244	4646
50	249	4638
51	253	4627
52	258	4617
53	264	4635
54	268	4619
55	273	4609
56	277	4598
57	282	4588
58	287	4580
59	292	4577
60	297	4578
61	302	4581
62	308	4583
63	313	4579
64	318	4577
65	323	4574
66	328	4567
67	332	4559
68	337	4555
69	342	4555
70	347	4548
71	352	4540
72	356	4524
73	360	4513
74	364	4500
75	369	4486
76	372	4470
77	377	4458
78	381	4447
79	385	4438
80	390	4429
81	394	4419
82	399	4411
83	404	4405
84	408	4399
85	413	4394
86	418	4390
87	423	4390
88	428	4389
89	434	4393
90	439	4393
91	445	4393
92	450	4389
93	456	4396
94	460	4384
95	464	4370
96	468	4358
97	472	4348
98	476	4334
99	480	4321
100	484	4309
101	487	4295
102	491	4283
103	495	4270
104	499	4260
105	503	4248
106	507	4236
107	512	4230
108	516	4224
109	520	4208
110	523	4196
111	527	4183
112	531	4174
113	535	4163
114	539	4154
115	543	4144
116	547	4133
117	551	4121
118	558	4133
119	562	4126
120	567	4120
121	571	4110
122	575	4105
123	580	4098
124	584	4092
125	589	4086
126	593	4082
127	598	4077
128	609	4117
129	615	4116
130	620	4114
131	625	4113
132	630	4112
133	637	4117
134	642	4116
135	646	4109
136	651	4105
137	657	4105
138	661	4094
139	664	4083
140	668	4072
141	672	4063
142	676	4054
143	680	4045
144	684	4037
145	688	4027
146	692	4018
147	696	4011
148	700	4002
149	704	3994
150	710	3992
151	714	3984
152	718	3975
153	722	3967
154	726	3960
155	730	3954
156	735	3949
157	739	3942
158	744	3936
159	749	3932
160	753	3927
161	758	3922
162	762	3916
163	767	3911
164	771	3906
165	776	3900
166	781	3896
167	785	3890
168	790	3884
169	797	3891
170	801	3886
171	806	3881
172	811	3881
173	817	3880
174	822	3877
175	828	3877
176	833	3876
177	839	3874
178	845	3877
179	849	3870
180	854	3865
181	859	3860
182	863	3854
183	868	3849
184	872	3842
185	876	3836
186	881	3831
187	885	3826
188	890	3820
189	895	3815
190	899	3811
191	905	3811
192	910	3805
193	914	3800
194	919	3795
195	923	3789
196	928	3783
197	932	3777
198	936	3769
199	940	3762
200	944	3755
201	948	3748
202	952	3740
203	957	3734
204	961	3727
205	965	3723
206	970	3717
207	974	3709
208	978	3703
209	982	3697
210	987	3691
211	991	3685
212	996	3680
213	1000	3674
214	1004	3669
215	1010	3667
216	1015	3664
217	1020	3662
218	1025	3658
219	1030	3654
220	1035	3649
221	1041	3648
222	1045	3642
223	1050	3638
224	1054	3631
225	1058	3624
226	1062	3617
227	1066	3611
228	1070	3604
229	1074	3598
230	1079	3593
231	1083	3587
232	1087	3581
233	1091	3574
234	1097	3572
235	1101	3567
236	1105	3560
237	1110	3554
238	1114	3548
239	1118	3542
240	1122	3536
241	1126	3529
242	1131	3524
243	1135	3516
244	1139	3510
245	1143	3504
246	1147	3497
247	1151	3490
248	1155	3483
249	1159	3478
250	1163	3472
251	1167	3465
252	1171	3458
253	1175	3452
254	1179	3445
255	1183	3440
256	1188	3434
257	1192	3430
258	1197	3426
259	1202	3421
260	1207	3419
261	1212	3414
262	1217	3410
263	1222	3409
264	1228	3407
265	1233	3403
266	1238	3398
267	1244	3398
268	1248	3393
269	1252	3387
270	1257	3382
271	1261	3376
272	1265	3370
273	1269	3364
274	1273	3358
275	1278	3352
276	1282	3347
277	1286	3341
278	1291	3337
279	1295	3332
280	1300	3327
281	1304	3321
282	1308	3315
283	1312	3309
284	1317	3304
285	1321	3298
286	1325	3293
287	1330	3288
288	1334	3282
289	1338	3276
290	1342	3270
291	1346	3266
292	1351	3260
293	1355	3253
294	1359	3248
295	1363	3243
296	1367	3237
297	1371	3231
298	1375	3225
299	1380	3221
300	1385	3218
301	1389	3212
302	1393	3206
303	1397	3199
304	1401	3193
305	1405	3186
306	1409	3181
307	1414	3177
308	1419	3173
309	1424	3170
310	1428	3164
311	1433	3160
312	1438	3158
313	1442	3151
314	1446	3145
315	1450	3139
316	1454	3133
317	1458	3128
318	1462	3122
319	1466	3116
320	1470	3111
321	1474	3104
322	1478	3099
323	1482	3093
324	1486	3087
325	1491	3082
326	1495	3077
327	1499	3072
328	1505	3070
