iter	Passed	Remaining
0	2	25890
1	5	23837
2	7	23035
3	10	23632
4	12	23155
5	15	22767
6	18	22982
7	20	23358
8	23	23608
9	26	23852
10	29	24229
11	32	24266
12	35	24047
13	37	24085
14	40	24043
15	43	24061
16	45	24007
17	48	23840
18	50	23782
19	53	23959
20	55	23661
21	57	23425
22	60	23368
23	62	23131
24	64	23127
25	66	22937
26	69	22895
27	71	22744
28	73	22584
29	76	22614
30	78	22598
31	80	22434
32	82	22339
33	85	22318
34	87	22294
35	97	24154
36	100	24239
37	103	24285
38	106	24345
39	109	24350
40	111	24200
41	113	24070
42	115	23936
43	118	23830
44	120	23703
45	121	23552
46	124	23472
47	126	23383
48	128	23220
49	129	23050
50	131	22863
51	133	22718
52	134	22553
53	136	22387
54	137	22213
55	139	22065
56	140	21920
57	142	21743
58	143	21571
59	144	21414
60	146	21258
61	147	21081
62	149	21003
63	150	20864
64	151	20712
65	153	20555
66	154	20425
67	155	20321
68	157	20166
69	158	20091
70	159	19951
71	161	19813
72	163	19783
73	164	19720
74	166	19633
75	167	19553
76	169	19480
77	171	19446
78	173	19395
79	174	19300
80	175	19205
81	177	19143
82	178	19062
83	180	19033
84	182	18945
85	183	18863
86	184	18785
87	186	18741
88	188	18701
89	189	18628
90	191	18556
91	192	18481
92	193	18414
93	195	18345
94	196	18312
95	198	18244
96	199	18189
97	201	18124
98	202	18091
99	204	18038
100	205	17980
101	207	17920
102	208	17860
103	209	17811
104	211	17759
105	212	17704
106	214	17652
107	215	17596
108	216	17542
109	218	17494
110	220	17504
111	221	17460
112	223	17412
113	224	17362
114	225	17314
115	227	17271
116	228	17226
117	230	17180
118	231	17144
119	232	17097
120	234	17058
121	235	17015
122	237	16994
123	238	16952
124	240	16911
125	241	16872
126	242	16832
127	244	16818
128	245	16777
129	247	16745
130	248	16705
131	250	16686
132	251	16649
133	253	16610
134	254	16574
135	255	16539
136	257	16523
137	258	16490
138	260	16464
139	261	16434
140	263	16402
141	264	16370
142	266	16359
143	268	16353
144	269	16330
145	270	16291
146	271	16249
147	273	16202
148	274	16162
149	275	16124
150	276	16082
151	277	16040
152	279	16005
153	280	15963
154	281	15919
155	282	15900
156	283	15867
157	285	15825
158	286	15808
159	287	15767
160	289	15743
161	290	15712
162	291	15686
163	292	15654
164	294	15626
165	295	15596
166	296	15567
167	298	15540
168	299	15516
169	300	15488
170	302	15485
171	303	15459
172	304	15422
173	306	15398
174	307	15376
175	308	15354
176	310	15334
177	311	15313
178	313	15326
179	314	15308
180	316	15287
181	317	15266
182	318	15243
183	320	15226
184	321	15209
185	323	15189
186	324	15174
187	325	15155
188	327	15136
189	328	15116
190	330	15113
191	331	15093
192	333	15074
193	334	15054
194	335	15036
195	337	15018
196	338	15004
197	340	15000
198	341	14983
199	342	14966
200	344	14947
201	345	14932
202	347	14917
203	348	14902
204	349	14885
205	351	14869
206	352	14859
207	354	14843
208	355	14829
209	356	14815
210	358	14803
211	359	14789
212	361	14775
213	362	14774
214	364	14763
215	365	14750
216	367	14735
217	368	14734
218	370	14722
219	371	14710
220	372	14695
221	374	14679
222	375	14664
223	377	14652
224	378	14644
225	379	14631
226	381	14616
227	382	14601
228	383	14585
229	385	14571
230	386	14558
231	387	14544
232	389	14534
233	390	14521
234	392	14511
235	393	14499
236	394	14486
237	396	14472
238	397	14462
239	399	14451
240	400	14446
241	402	14435
242	403	14429
243	405	14417
244	406	14406
245	407	14394
246	409	14384
247	410	14374
248	412	14364
249	413	14358
250	414	14347
251	416	14338
252	417	14334
253	419	14330
254	421	14323
255	422	14314
256	423	14304
257	425	14307
258	427	14298
259	428	14296
260	430	14287
261	431	14275
262	432	14264
263	434	14254
264	435	14246
265	437	14237
266	438	14226
267	439	14216
268	441	14217
269	443	14207
270	444	14197
271	445	14185
272	447	14175
273	448	14164
274	449	14157
275	451	14146
276	452	14138
277	453	14126
278	455	14116
279	456	14108
280	458	14106
281	460	14108
282	461	14099
283	462	14090
284	464	14081
285	465	14071
286	467	14062
287	468	14054
288	469	14045
289	471	14036
290	472	14029
291	474	14022
292	475	14013
293	476	14004
294	478	13995
295	479	13986
296	480	13978
297	482	13970
298	483	13963
299	485	13955
300	486	13948
301	487	13939
302	489	13932
303	490	13929
304	492	13920
305	493	13912
306	495	13906
307	496	13904
308	498	13897
309	499	13890
310	501	13887
311	502	13880
312	504	13875
313	505	13870
314	507	13871
315	508	13867
316	510	13859
317	511	13854
318	513	13849
319	514	13843
320	516	13839
321	517	13834
322	519	13830
323	520	13826
324	522	13820
325	523	13814
326	524	13809
327	526	13803
328	527	13796
329	529	13790
330	530	13785
331	532	13781
332	533	13776
333	535	13773
334	536	13767
335	538	13767
336	539	13761
337	541	13758
338	542	13751
339	544	13761
340	546	13758
341	547	13755
342	549	13750
343	550	13744
344	552	13738
345	553	13741
346	555	13748
347	557	13744
348	558	13738
349	560	13733
350	561	13728
351	563	13724
352	564	13718
353	566	13715
354	567	13710
355	569	13707
356	570	13708
357	572	13712
358	574	13709
359	575	13705
360	577	13702
361	578	13698
362	580	13693
363	582	13705
364	583	13698
365	585	13694
366	587	13694
367	588	13688
368	589	13683
369	591	13678
370	592	13678
371	594	13673
372	596	13674
373	597	13670
374	599	13664
375	600	13659
376	602	13661
377	603	13656
378	605	13651
379	606	13645
380	607	13639
381	609	13635
382	610	13631
383	612	13627
384	613	13622
385	615	13617
386	616	13611
387	618	13613
388	620	13612
389	621	13612
390	623	13605
391	624	13597
392	625	13589
393	626	13581
394	628	13576
395	629	13569
396	631	13563
397	632	13554
398	633	13545
399	634	13534
400	636	13531
401	637	13524
402	638	13515
403	640	13512
404	641	13505
405	643	13500
406	644	13494
407	646	13492
408	647	13492
409	649	13487
410	650	13490
411	652	13492
412	654	13485
413	655	13481
414	656	13475
415	658	13470
416	659	13467
417	661	13462
418	662	13462
419	664	13457
420	666	13467
421	668	13466
422	669	13461
423	671	13477
424	673	13480
425	675	13490
426	677	13497
427	679	13499
428	681	13496
429	682	13494
430	684	13489
431	685	13484
432	686	13478
433	688	13473
434	689	13469
435	691	13465
436	692	13464
437	694	13460
438	695	13455
439	697	13450
440	698	13453
441	700	13451
442	701	13447
443	703	13442
444	704	13438
445	706	13434
446	707	13430
447	709	13425
448	710	13420
449	711	13415
450	713	13403
451	714	13405
452	716	13401
453	717	13395
454	718	13389
455	719	13377
456	721	13375
457	722	13370
458	724	13367
459	725	13363
460	727	13360
461	728	13359
462	730	13360
463	732	13359
464	733	13354
465	735	13349
466	736	13350
467	738	13345
468	739	13341
469	740	13336
470	742	13330
471	743	13325
472	745	13323
473	746	13323
474	748	13320
475	750	13322
476	751	13318
477	753	13314
478	754	13311
479	756	13319
480	758	13314
481	759	13308
482	760	13303
483	762	13301
484	763	13298
485	765	13293
486	766	13288
487	767	13283
488	769	13279
489	770	13274
490	772	13269
491	773	13264
492	774	13259
493	776	13254
494	777	13254
495	779	13250
496	780	13246
497	782	13241
498	783	13236
499	784	13232
500	786	13228
501	787	13225
502	789	13221
503	790	13216
504	791	13210
505	793	13206
506	794	13201
507	796	13196
508	797	13191
509	798	13186
510	800	13182
511	801	13178
512	803	13174
513	804	13169
514	805	13164
515	807	13159
516	808	13153
517	809	13149
518	810	13140
519	812	13140
520	813	13134
521	815	13129
522	816	13124
523	817	13119
524	819	13114
525	820	13109
526	821	13104
527	823	13098
528	824	13093
529	825	13087
530	827	13082
531	828	13077
532	829	13072
533	831	13066
534	832	13063
535	833	13058
536	835	13054
537	836	13049
538	838	13044
539	839	13040
540	840	13036
541	842	13032
542	843	13028
543	845	13025
544	846	13021
545	847	13017
546	849	13012
547	850	13008
548	851	13004
549	853	12999
550	854	12995
551	856	12990
552	857	12989
553	859	12987
554	860	12982
555	861	12978
556	863	12974
557	864	12971
558	866	12968
559	867	12964
560	868	12959
561	870	12955
562	871	12950
563	873	12951
564	874	12947
565	875	12943
566	877	12939
567	878	12934
568	880	12930
569	881	12925
570	882	12922
571	884	12919
572	885	12915
573	887	12911
574	888	12911
575	890	12908
576	891	12905
577	892	12901
578	894	12897
579	895	12893
580	897	12889
581	898	12885
582	899	12882
583	901	12878
584	902	12873
585	903	12869
586	905	12867
587	906	12861
588	908	12868
589	910	12865
590	911	12861
591	913	12858
592	914	12854
593	915	12851
594	917	12851
595	918	12848
596	925	12918
597	927	12916
598	928	12914
599	930	12910
600	931	12908
601	932	12903
602	934	12899
603	935	12895
604	937	12895
605	939	12903
606	940	12899
607	942	12894
608	943	12893
609	945	12889
610	946	12884
611	947	12881
612	949	12877
613	950	12873
614	952	12870
615	953	12871
616	955	12869
617	956	12867
618	958	12864
619	959	12861
620	961	12859
621	962	12856
622	963	12852
623	965	12848
624	967	12848
625	968	12847
626	970	12847
627	971	12845
628	973	12844
629	975	12844
630	976	12842
631	978	12842
632	979	12843
633	981	12843
634	983	12842
635	985	12845
636	986	12844
637	988	12846
638	990	12845
639	991	12844
640	993	12843
641	995	12846
642	996	12845
643	998	12843
644	1000	12843
645	1001	12845
646	1003	12845
647	1005	12845
648	1006	12844
649	1008	12843
650	1009	12842
651	1011	12842
652	1013	12841
653	1014	12838
654	1016	12834
655	1017	12831
656	1019	12830
657	1020	12825
658	1021	12821
659	1023	12823
660	1024	12820
661	1026	12813
662	1027	12809
663	1028	12806
664	1030	12802
665	1031	12798
666	1033	12798
667	1034	12798
668	1036	12795
669	1037	12791
670	1039	12788
671	1040	12784
672	1041	12781
673	1043	12779
674	1044	12775
675	1046	12771
676	1047	12767
677	1048	12765
678	1050	12763
679	1051	12759
680	1053	12755
681	1054	12751
682	1055	12747
683	1057	12744
684	1058	12744
685	1060	12742
686	1061	12738
687	1063	12734
688	1064	12730
689	1066	12728
690	1067	12725
691	1068	12723
692	1070	12719
693	1071	12716
694	1073	12713
695	1074	12710
696	1075	12707
697	1077	12703
698	1078	12701
699	1082	12726
700	1084	12725
701	1085	12721
702	1086	12718
703	1088	12714
704	1089	12711
705	1091	12708
706	1092	12704
707	1093	12700
708	1095	12697
709	1096	12694
710	1098	12692
711	1099	12692
712	1101	12689
713	1102	12686
714	1104	12684
715	1105	12681
716	1107	12683
717	1108	12679
718	1110	12675
719	1111	12672
720	1112	12669
721	1114	12665
722	1115	12662
723	1116	12658
724	1118	12658
725	1120	12656
726	1121	12653
727	1122	12650
728	1124	12646
729	1125	12643
730	1126	12639
731	1130	12659
732	1132	12657
733	1133	12654
734	1134	12650
735	1136	12647
736	1137	12644
737	1139	12641
738	1140	12638
739	1141	12634
740	1143	12631
741	1145	12642
742	1147	12641
743	1148	12638
744	1150	12637
745	1151	12634
746	1153	12631
747	1154	12629
748	1155	12623
749	1157	12620
750	1158	12616
751	1160	12614
752	1161	12610
753	1162	12607
754	1164	12605
755	1165	12602
756	1167	12607
757	1169	12606
758	1171	12605
759	1172	12603
760	1173	12599
761	1175	12597
762	1176	12595
763	1178	12592
764	1180	12594
765	1181	12592
766	1182	12585
767	1184	12583
768	1185	12581
769	1187	12578
770	1188	12576
771	1190	12574
772	1191	12570
773	1192	12567
774	1194	12564
775	1195	12560
776	1196	12557
777	1198	12553
778	1199	12553
779	1201	12550
780	1203	12551
781	1204	12548
782	1206	12547
783	1207	12545
784	1208	12542
785	1210	12539
786	1211	12535
787	1213	12532
788	1214	12530
789	1215	12527
790	1217	12524
791	1218	12522
792	1220	12518
793	1221	12516
794	1223	12513
795	1224	12512
796	1234	12596
797	1236	12597
798	1237	12594
799	1239	12592
800	1240	12589
801	1242	12587
802	1243	12584
803	1244	12581
804	1246	12577
805	1247	12575
806	1249	12572
807	1250	12572
808	1252	12569
809	1253	12566
810	1255	12563
811	1256	12560
812	1257	12557
813	1259	12554
814	1260	12551
815	1262	12547
816	1263	12547
817	1265	12544
818	1266	12542
819	1267	12538
820	1269	12536
821	1270	12533
822	1272	12532
823	1273	12530
824	1275	12528
825	1276	12526
826	1278	12523
827	1279	12520
828	1281	12517
829	1282	12514
830	1283	12510
831	1285	12507
832	1286	12504
833	1288	12504
834	1289	12501
835	1291	12497
836	1292	12494
837	1293	12492
838	1295	12489
839	1296	12486
840	1298	12483
841	1299	12481
842	1300	12478
843	1302	12475
844	1303	12473
845	1305	12472
846	1307	12472
847	1308	12469
848	1309	12465
849	1311	12462
850	1312	12459
851	1314	12456
852	1315	12455
853	1316	12452
854	1318	12449
855	1319	12447
856	1321	12444
857	1322	12441
858	1324	12438
859	1325	12436
860	1326	12433
861	1328	12430
862	1329	12427
863	1330	12424
864	1332	12421
865	1333	12418
866	1335	12414
867	1338	12426
868	1339	12424
869	1340	12421
870	1342	12417
871	1343	12417
872	1345	12414
873	1347	12414
874	1348	12411
875	1349	12408
876	1351	12406
877	1352	12404
878	1354	12401
879	1355	12398
880	1356	12396
881	1358	12392
882	1359	12389
883	1361	12386
884	1362	12385
885	1364	12382
886	1365	12380
887	1367	12378
888	1368	12376
889	1370	12374
890	1371	12373
891	1372	12370
892	1374	12367
893	1375	12365
894	1377	12363
895	1378	12360
896	1380	12357
897	1381	12353
898	1382	12350
899	1384	12355
900	1386	12352
901	1387	12350
902	1389	12346
903	1390	12344
904	1391	12341
905	1393	12338
906	1394	12335
907	1396	12336
908	1397	12333
909	1399	12331
910	1400	12329
911	1402	12327
912	1403	12324
913	1405	12321
914	1406	12319
915	1408	12320
916	1410	12320
917	1411	12318
918	1413	12315
919	1414	12312
920	1415	12309
921	1417	12307
922	1418	12304
923	1420	12302
924	1421	12299
925	1422	12296
926	1424	12293
927	1425	12291
928	1427	12291
929	1428	12290
930	1430	12291
931	1432	12293
932	1434	12292
933	1435	12290
934	1437	12287
935	1438	12284
936	1439	12282
937	1441	12279
938	1442	12277
939	1444	12275
940	1445	12272
941	1447	12269
942	1449	12272
943	1450	12269
944	1451	12267
945	1453	12265
946	1455	12263
947	1456	12261
948	1457	12259
949	1459	12259
950	1461	12257
951	1462	12254
952	1464	12254
953	1465	12252
954	1467	12249
955	1468	12246
956	1469	12243
957	1471	12244
958	1473	12245
959	1475	12247
960	1477	12247
961	1478	12246
962	1480	12245
963	1481	12242
964	1483	12240
965	1484	12237
966	1485	12235
967	1487	12232
968	1488	12230
969	1490	12232
970	1492	12230
971	1493	12227
972	1495	12226
973	1497	12226
974	1498	12227
975	1500	12224
976	1501	12222
977	1503	12219
978	1504	12217
979	1505	12215
980	1507	12213
981	1508	12210
982	1510	12207
983	1511	12207
984	1513	12207
