region_area_,Potability
region_area_0,0
region_area_10,1
region_area_1006,0
region_area_1010,0
region_area_1011,1
region_area_1012,0
region_area_1013,0
region_area_1019,1
region_area_1025,0
region_area_1027,1
region_area_103,0
region_area_1030,0
region_area_1035,1
region_area_104,0
region_area_1042,0
region_area_1043,0
region_area_1044,0
region_area_1047,1
region_area_1048,1
region_area_105,0
region_area_1053,1
region_area_1054,1
region_area_1055,0
region_area_1058,1
region_area_106,0
region_area_1063,1
region_area_1065,0
region_area_1067,1
region_area_107,0
region_area_1071,1
region_area_1078,1
region_area_1079,0
region_area_1080,1
region_area_1087,0
region_area_1089,1
region_area_1090,1
region_area_1093,0
region_area_1098,1
region_area_1099,1
region_area_110,0
region_area_1107,1
region_area_1110,0
region_area_1111,1
region_area_1122,1
region_area_1131,1
region_area_1132,0
region_area_1135,0
region_area_1136,1
region_area_1139,1
region_area_1146,1
region_area_1147,1
region_area_1148,1
region_area_115,0
region_area_1156,1
region_area_1157,1
region_area_1158,0
region_area_1159,0
region_area_116,0
region_area_1160,1
region_area_1161,1
region_area_1165,1
region_area_1166,1
region_area_1167,0
region_area_117,0
region_area_1171,1
region_area_1175,0
region_area_118,0
region_area_1181,1
region_area_1185,0
region_area_1187,0
region_area_1195,0
region_area_12,1
region_area_1205,0
region_area_1208,1
region_area_121,0
region_area_1211,1
region_area_1212,0
region_area_1217,0
region_area_1219,0
region_area_1224,1
region_area_1228,1
region_area_1237,0
region_area_1238,1
region_area_124,0
region_area_1240,0
region_area_1243,0
region_area_1244,0
region_area_1247,0
region_area_1248,0
region_area_1249,0
region_area_1253,0
region_area_1259,0
region_area_126,1
region_area_1260,0
region_area_1262,1
region_area_1263,1
region_area_1264,0
region_area_1267,0
region_area_1268,1
region_area_1271,1
region_area_1273,0
region_area_1275,1
region_area_1276,1
region_area_1280,1
region_area_1288,1
region_area_1290,1
region_area_1293,1
region_area_1294,0
region_area_1298,0
region_area_1299,0
region_area_130,0
region_area_1301,0
region_area_1302,1
region_area_1303,0
region_area_1308,1
region_area_1311,0
region_area_1313,0
region_area_1321,0
region_area_1324,0
region_area_1327,0
region_area_1330,1
region_area_1336,0
region_area_1337,1
region_area_1338,0
region_area_134,0
region_area_1344,0
region_area_1346,0
region_area_1354,0
